39836,2009,7,83,26*,41.50,0,7,3/20,11.85,0,2,0,29.64,T20I,68
557295,2017,2,2,1,1.00,0,,,,,1,0,,ODI,13079
39836,2010,17,236,46*,19.66,0,8,3/13,27.37,0,0,0,-7.70,T20I,69
39836,2012,4,37,22,18.50,0,2,2/9,10.50,0,0,0,8.00,T20I,70
39836,2013,2,10,10,5.00,0,0,,,0,0,0,,T20I,71
553249,2020,1,,,,,,,,,,,,ODI,3955
25580,2004,1,1,1,1.00,0,,,,,0,0,,ODI,72
1431566,2024,4,,,,,4,2/4,3.25,0,1,0,,T20I,73
585100,2015,2,44,24,22.00,0,,,,,2,0,,ODI,74
585100,2018,1,10,10,10.00,0,,,,,2,1,,ODI,75
585100,2015,4,28,20*,14.00,0,,,,,0,0,,T20I,76
585100,2019,2,7,7*,,0,,,,,0,1,,T20I,77
1198937,2019,2,0,0,0.00,0,,,,,1,2,,T20I,78
1198937,2020,2,27,20,27.00,0,,,,,0,0,,T20I,79
1198937,2021,4,59,31*,29.50,0,,,,,3,0,,T20I,80
1198937,2022,8,90,27,18.00,0,,,,,3,2,,T20I,81
1198937,2023,3,31,27,15.50,0,,,,,1,0,,T20I,82
1156489,2019,7,41,17,10.25,0,7,2/10,14.42,0,4,0,-4.17,T20I,83
1156489,2020,2,61,59,30.50,0,,,,,0,0,,T20I,84
1156489,2021,8,94,31,11.75,0,1,1/18,51.00,0,2,0,-39.24,T20I,85
1156489,2022,7,73,30*,18.25,0,,,,,4,0,,T20I,86
1156489,2023,2,12,12*,,0,,,,,3,0,,T20I,87
1318791,2022,5,71,24,14.20,0,,,,,3,0,,T20I,88
402106,2020,3,64,41*,32.00,0,3,2/11,4.33,0,3,0,27.66,T20I,89
402106,2021,4,70,33*,23.33,0,,,,,0,0,,T20I,90
402106,2022,7,80,20*,13.33,0,,,,,2,0,,T20I,91
402106,2023,11,350,83,35.00,0,0,,,0,4,0,,T20I,92
402106,2024,12,392,99,49.00,0,2,1/10,19.00,0,7,0,30.00,T20I,93
1172281,2019,5,32,17*,16.00,0,5,2/21,23.40,0,1,0,-7.39,T20I,94
1172281,2020,3,11,10,5.50,0,4,4/14,11.25,0,1,0,-5.74,T20I,95
1172281,2021,4,90,72*,90.00,0,6,2/25,15.33,0,1,0,74.66,T20I,96
974173,2021,1,12,9,6.00,0,0,,,0,0,0,,Test,97
335850,2023,4,48,42,16.00,0,,,,,1,0,,T20I,98
335850,2024,3,57,36,28.50,0,,,,,2,0,,T20I,99
39084,2009,3,52,31,8.66,0,6,2/59,46.33,0,0,0,-37.66,Test,100
39084,2008,4,,,,,8,3/24,26.50,0,2,0,,ODI,101
39084,2008,1,,,,,0,,,0,0,0,,T20I,102
56283,2006,1,15,15,7.50,0,0,,,0,0,0,,Test,103
56283,2007,1,4,4,4.00,0,1,1/109,109.00,0,0,0,-104.99,Test,104
56283,2008,3,110,33,36.66,0,6,3/93,58.83,0,2,0,-22.16,Test,105
56283,2010,3,31,19,7.75,0,9,3/132,57.55,0,1,0,-49.80,Test,106
56283,2011,1,54,43,27.00,0,2,1/49,53.00,0,0,0,-25.99,Test,107
